pair_id,MQ,family,n_annotations,winner,margin,raw,order_consistent,path_A,path_B
mqp_5000097,same,M-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/N1/videos/mq_00a0922ceb3f__pangu__s42.mp4,bench_results/bench001/M1/hunyuan/mq_00a0922ceb3f__hunyuan__s42.mp4
mqp_5000104,BB,S-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M1/wan14b/mq_00b40fedeb76__wan14b__s42.mp4,bench_results/bench001/M2/cosmos_super/mq_00b40fedeb76__cosmos_super__s43.mp4
mqp_5000119,same,seed,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M3/cogvideox/mq_00c11eb6ed68__cogvideox__s43.mp4,bench_results/bench001/M3/cogvideox/mq_00c11eb6ed68__cogvideox__s42.mp4
mqp_5000135,A,S-S,3,tie,0.0,"['2', '2']",False,bench_results/bench001/M2/cosmos_super/mq_00fd3e53d915__cosmos_super__s42.mp4,bench_results/bench001/M3/wan14b/mq_00fd3e53d915__wan14b__s42.mp4
mqp_5000145,BB,W-M,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/wan5b/mq_011f08dbb536__wan5b__s42.mp4,bench_results/bench001/N1/videos/mq_011f08dbb536__pangu__s43.mp4
mqp_5000146,same,seed,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_nano/mq_011f08dbb536__cosmos_nano__s44.mp4,bench_results/bench001/M2/cosmos_nano/mq_011f08dbb536__cosmos_nano__s42.mp4
mqp_5000151,A,W-M,3,a,1.0,"['1', '2']",True,bench_results/bench001/N1/videos/mq_012c7d1fc39d__pangu__s44.mp4,bench_results/bench001/M3/cogvideox/mq_012c7d1fc39d__cogvideox__s44.mp4
mqp_5000153,BB,M-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M2/cosmos_nano/mq_013083229026__cosmos_nano__s43.mp4,bench_results/bench001/M2/cosmos_super/mq_013083229026__cosmos_super__s44.mp4
mqp_5000160,A,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M1/hunyuan/mq_015769228129__hunyuan__s43.mp4,bench_results/bench001/M2/cosmos_super/mq_015769228129__cosmos_super__s42.mp4
mqp_5000165,BB,W-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/wan5b/mq_01596e39bf31__wan5b__s42.mp4,bench_results/bench001/M3/wan14b/mq_01596e39bf31__wan14b__s44.mp4
mqp_5000168,same,M-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M1/hunyuan/mq_015ff2cc651a__hunyuan__s44.mp4,bench_results/bench001/M2/cosmos_nano/mq_015ff2cc651a__cosmos_nano__s44.mp4
mqp_5000181,A,W-M,3,tie,0.0,"['2', '2']",False,bench_results/bench001/N1/videos/mq_017f41b97bfc__pangu__s44.mp4,bench_results/bench001/M3/wan5b/mq_017f41b97bfc__wan5b__s43.mp4
mqp_5000182,BB,S-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_017f41b97bfc__ltx__s43.mp4,bench_results/bench001/M1/hunyuan/mq_017f41b97bfc__hunyuan__s43.mp4
mqp_5000197,B,W-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/cogvideox/mq_01b263da40c2__cogvideox__s44.mp4,bench_results/bench001/M2/cosmos_super/mq_01b263da40c2__cosmos_super__s42.mp4
mqp_5000207,B,W-M,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/cogvideox/mq_01d9a4759bb7__cogvideox__s42.mp4,bench_results/bench001/N1/videos/mq_01d9a4759bb7__pangu__s44.mp4
mqp_5000219,A,W-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M4/mq_01e6ea02f69e__wan14b__s43.mp4,bench_results/bench001/M3/wan5b/mq_01e6ea02f69e__wan5b__s42.mp4
mqp_5000239,BB,W-M,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/cogvideox/mq_01f167ce7522__cogvideox__s44.mp4,bench_results/bench001/M2/cosmos_nano/mq_01f167ce7522__cosmos_nano__s43.mp4
mqp_5000243,same,seed,3,a,1.0,"['1', '2']",True,bench_results/bench001/M1/hunyuan/mq_01f469e04e62__hunyuan__s44.mp4,bench_results/bench001/M1/hunyuan/mq_01f469e04e62__hunyuan__s43.mp4
mqp_5000251,B,M-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/N1/videos/mq_021e1f30cac5__pangu__s43.mp4,bench_results/bench001/M4/mq_021e1f30cac5__wan14b__s43.mp4
mqp_5000257,same,seed,3,tie,0.0,"['1', '1']",False,bench_results/bench001/N1/videos/mq_0228b6901987__pangu__s44.mp4,bench_results/bench001/N1/videos/mq_0228b6901987__pangu__s42.mp4
mqp_5000286,A,S-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M4/mq_024c1bee160a__wan14b__s43.mp4,bench_results/bench001/M2/cosmos_super/mq_024c1bee160a__cosmos_super__s43.mp4
mqp_5000291,AA,M-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M2/cosmos_nano/mq_0263f528d6fa__cosmos_nano__s42.mp4,bench_results/bench001/M4/mq_0263f528d6fa__wan14b__s42.mp4
mqp_5000293,same,seed,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M3/cogvideox/mq_026b7d7e96fc__cogvideox__s43.mp4,bench_results/bench001/M3/cogvideox/mq_026b7d7e96fc__cogvideox__s44.mp4
mqp_5000298,B,W-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/wan5b/mq_026bbfef06ad__wan5b__s42.mp4,bench_results/bench001/M2/cosmos_super/mq_026bbfef06ad__cosmos_super__s42.mp4
mqp_5000301,same,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_02720ee3b3e5__ltx__s43.mp4,bench_results/bench001/M3/ltx/mq_02720ee3b3e5__ltx__s44.mp4
mqp_5000316,same,M-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/N1/videos/mq_029bb8a68f79__pangu__s44.mp4,bench_results/bench001/M2/cosmos_super/mq_029bb8a68f79__cosmos_super__s44.mp4
mqp_5000318,A,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_super/mq_029bb8a68f79__cosmos_super__s43.mp4,bench_results/bench001/M3/ltx/mq_029bb8a68f79__ltx__s42.mp4
mqp_5000327,AA,seed,3,a,1.0,"['1', '2']",True,bench_results/bench001/N1/videos/mq_02a555bd69e5__pangu__s42.mp4,bench_results/bench001/N1/videos/mq_02a555bd69e5__pangu__s43.mp4
mqp_5000337,AA,W-M,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_nano/mq_02ce595ca32d__cosmos_nano__s42.mp4,bench_results/bench001/M3/wan5b/mq_02ce595ca32d__wan5b__s44.mp4
mqp_5000338,same,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_02ce595ca32d__ltx__s43.mp4,bench_results/bench001/M3/ltx/mq_02ce595ca32d__ltx__s42.mp4
mqp_5000350,same,seed,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M1/hunyuan/mq_02d9e059f5fc__hunyuan__s43.mp4,bench_results/bench001/M1/hunyuan/mq_02d9e059f5fc__hunyuan__s44.mp4
mqp_5000354,same,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M4/mq_02df968239e4__wan14b__s42.mp4,bench_results/bench001/M2/cosmos_super/mq_02df968239e4__cosmos_super__s43.mp4
mqp_5000362,AA,W-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M4/mq_02f841eb4aa7__wan14b__s44.mp4,bench_results/bench001/M3/cogvideox/mq_02f841eb4aa7__cogvideox__s44.mp4
mqp_5000384,same,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M4/mq_032d989bede1__wan14b__s43.mp4,bench_results/bench001/M3/ltx/mq_032d989bede1__ltx__s44.mp4
mqp_5000394,BB,S-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M4/mq_033b10807be2__wan14b__s42.mp4,bench_results/bench001/M1/hunyuan/mq_033b10807be2__hunyuan__s44.mp4
mqp_5000401,B,M-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_nano/mq_0342b4b29624__cosmos_nano__s44.mp4,bench_results/bench001/M2/cosmos_super/mq_0342b4b29624__cosmos_super__s42.mp4
mqp_5000404,B,M-M,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M2/cosmos_nano/mq_0347412ba242__cosmos_nano__s42.mp4,bench_results/bench001/N1/videos/mq_0347412ba242__pangu__s44.mp4
mqp_5000412,same,seed,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/cogvideox/mq_034dcf3b2b9d__cogvideox__s43.mp4,bench_results/bench001/M3/cogvideox/mq_034dcf3b2b9d__cogvideox__s44.mp4
mqp_5000425,A,W-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M1/hunyuan/mq_036ed3762a44__hunyuan__s44.mp4,bench_results/bench001/M3/wan5b/mq_036ed3762a44__wan5b__s44.mp4
mqp_5000450,AA,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M4/mq_03b14157feb7__wan14b__s42.mp4,bench_results/bench001/M4/mq_03b14157feb7__wan14b__s44.mp4
mqp_5000457,same,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_03b30665495e__ltx__s43.mp4,bench_results/bench001/M3/ltx/mq_03b30665495e__ltx__s44.mp4
mqp_5000459,same,seed,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/wan5b/mq_03b30665495e__wan5b__s44.mp4,bench_results/bench001/M3/wan5b/mq_03b30665495e__wan5b__s42.mp4
mqp_5000461,A,S-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_03bd8ed8f763__ltx__s43.mp4,bench_results/bench001/M2/cosmos_super/mq_03bd8ed8f763__cosmos_super__s44.mp4
mqp_5000462,B,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/ltx/mq_03bd8ed8f763__ltx__s42.mp4,bench_results/bench001/M1/hunyuan/mq_03bd8ed8f763__hunyuan__s42.mp4
mqp_5000464,same,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_03c35c24da45__ltx__s44.mp4,bench_results/bench001/M3/ltx/mq_03c35c24da45__ltx__s43.mp4
mqp_5000472,AA,W-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M1/hunyuan/mq_03ca3a9bb4d2__hunyuan__s44.mp4,bench_results/bench001/M3/cogvideox/mq_03ca3a9bb4d2__cogvideox__s43.mp4
mqp_5000497,B,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/ltx/mq_03fbfcd1c59f__ltx__s44.mp4,bench_results/bench001/M1/hunyuan/mq_03fbfcd1c59f__hunyuan__s42.mp4
mqp_5000509,A,S-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M2/cosmos_super/mq_040572056036__cosmos_super__s42.mp4,bench_results/bench001/M3/ltx/mq_040572056036__ltx__s43.mp4
mqp_5000535,same,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M1/hunyuan/mq_04337a81a079__hunyuan__s44.mp4,bench_results/bench001/M4/mq_04337a81a079__wan14b__s42.mp4
mqp_5000564,A,M-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_nano/mq_04686f89b401__cosmos_nano__s42.mp4,bench_results/bench001/M2/cosmos_super/mq_04686f89b401__cosmos_super__s44.mp4
mqp_5000570,AA,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M4/mq_046faa3f186b__wan14b__s44.mp4,bench_results/bench001/M3/ltx/mq_046faa3f186b__ltx__s43.mp4
mqp_5000578,BB,M-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/N2/videos/mq_0479bd7182f2__pangu__s42.mp4,bench_results/bench001/M4/mq_0479bd7182f2__wan14b__s43.mp4
mqp_5000609,A,seed,3,tie,0.0,"['1', '1']",False,bench_results/bench001/N2/videos/mq_04b50c194d2f__pangu__s43.mp4,bench_results/bench001/N2/videos/mq_04b50c194d2f__pangu__s44.mp4
mqp_5000610,same,M-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M2/cosmos_nano/mq_04b50c194d2f__cosmos_nano__s44.mp4,bench_results/bench001/M2/cosmos_super/mq_04b50c194d2f__cosmos_super__s44.mp4
mqp_5000613,BB,S-S,3,tie,0.0,"['2', '2']",False,bench_results/bench001/M2/cosmos_super/mq_04ba85753ede__cosmos_super__s43.mp4,bench_results/bench001/M1/hunyuan/mq_04ba85753ede__hunyuan__s43.mp4
mqp_5000616,same,seed,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M4/mq_04baa030570b__wan14b__s42.mp4,bench_results/bench001/M4/mq_04baa030570b__wan14b__s44.mp4
mqp_5000622,B,W-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M3/wan5b/mq_04c4f3cc3b10__wan5b__s44.mp4,bench_results/bench001/M2/cosmos_super/mq_04c4f3cc3b10__cosmos_super__s43.mp4
mqp_5000632,same,seed,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/cogvideox/mq_04d691e639c4__cogvideox__s42.mp4,bench_results/bench001/M3/cogvideox/mq_04d691e639c4__cogvideox__s44.mp4
mqp_5000640,A,W-M,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_nano/mq_04db3a6a5ee5__cosmos_nano__s43.mp4,bench_results/bench001/M3/cogvideox/mq_04db3a6a5ee5__cogvideox__s42.mp4
mqp_5000642,B,W-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M3/cogvideox/mq_04db3a6a5ee5__cogvideox__s43.mp4,bench_results/bench001/M1/hunyuan/mq_04db3a6a5ee5__hunyuan__s43.mp4
mqp_5000644,same,seed,3,tie,0.0,"['1', '1']",False,bench_results/bench001/N2/videos/mq_04e45c4869b7__pangu__s42.mp4,bench_results/bench001/N2/videos/mq_04e45c4869b7__pangu__s44.mp4
mqp_5000652,BB,M-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M2/cosmos_nano/mq_04f2a074c85a__cosmos_nano__s44.mp4,bench_results/bench001/M1/hunyuan/mq_04f2a074c85a__hunyuan__s42.mp4
mqp_5000657,same,seed,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_super/mq_04f2ecedd35d__cosmos_super__s43.mp4,bench_results/bench001/M2/cosmos_super/mq_04f2ecedd35d__cosmos_super__s44.mp4
mqp_5000662,A,W-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/wan5b/mq_04fe719dfa25__wan5b__s44.mp4,bench_results/bench001/M4/mq_04fe719dfa25__wan14b__s42.mp4
mqp_5000664,A,W-M,3,a,1.0,"['1', '2']",True,bench_results/bench001/N2/videos/mq_04fe8d764d27__pangu__s43.mp4,bench_results/bench001/M3/wan5b/mq_04fe8d764d27__wan5b__s43.mp4
mqp_5000666,A,W-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M1/hunyuan/mq_04fe8d764d27__hunyuan__s43.mp4,bench_results/bench001/M3/wan5b/mq_04fe8d764d27__wan5b__s44.mp4
mqp_5000668,same,W-M,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M2/cosmos_nano/mq_050ca6e97626__cosmos_nano__s43.mp4,bench_results/bench001/M3/wan5b/mq_050ca6e97626__wan5b__s42.mp4
mqp_5000672,same,seed,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M3/ltx/mq_054808db16cd__ltx__s44.mp4,bench_results/bench001/M3/ltx/mq_054808db16cd__ltx__s42.mp4
mqp_5000682,A,M-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M2/cosmos_super/mq_0550971ee315__cosmos_super__s42.mp4,bench_results/bench001/N2/videos/mq_0550971ee315__pangu__s44.mp4
mqp_5000691,BB,W-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/cogvideox/mq_055eac3d24f3__cogvideox__s44.mp4,bench_results/bench001/M3/ltx/mq_055eac3d24f3__ltx__s42.mp4
mqp_5000698,same,M-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_056dfaa110c4__ltx__s42.mp4,bench_results/bench001/N2/videos/mq_056dfaa110c4__pangu__s42.mp4
mqp_5000705,same,S-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M2/cosmos_super/mq_05875618cc9c__cosmos_super__s44.mp4,bench_results/bench001/M1/hunyuan/mq_05875618cc9c__hunyuan__s42.mp4
mqp_5000726,B,seed,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_nano/mq_05e0af8ed5f4__cosmos_nano__s43.mp4,bench_results/bench001/M2/cosmos_nano/mq_05e0af8ed5f4__cosmos_nano__s42.mp4
mqp_5000731,A,M-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M2/cosmos_super/mq_05ecd394ca85__cosmos_super__s43.mp4,bench_results/bench001/M2/cosmos_nano/mq_05ecd394ca85__cosmos_nano__s44.mp4
mqp_5000738,A,W-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_super/mq_05f152365c08__cosmos_super__s44.mp4,bench_results/bench001/M3/cogvideox/mq_05f152365c08__cogvideox__s43.mp4
mqp_5000748,same,seed,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M2/cosmos_super/mq_05fa168df64c__cosmos_super__s44.mp4,bench_results/bench001/M2/cosmos_super/mq_05fa168df64c__cosmos_super__s43.mp4
mqp_5000751,same,W-M,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_nano/mq_05fa168df64c__cosmos_nano__s44.mp4,bench_results/bench001/M3/wan5b/mq_05fa168df64c__wan5b__s43.mp4
mqp_5000767,A,W-M,3,a,1.0,"['1', '2']",True,bench_results/bench001/N2/videos/mq_0609863ee713__pangu__s42.mp4,bench_results/bench001/M3/cogvideox/mq_0609863ee713__cogvideox__s44.mp4
mqp_5000776,same,M-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_061dd9c91718__ltx__s42.mp4,bench_results/bench001/M2/cosmos_nano/mq_061dd9c91718__cosmos_nano__s43.mp4
mqp_5000791,B,M-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M2/cosmos_super/mq_0633b1c93ed5__cosmos_super__s43.mp4,bench_results/bench001/M2/cosmos_nano/mq_0633b1c93ed5__cosmos_nano__s44.mp4
mqp_5000797,same,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/wan5b/mq_064be72ce080__wan5b__s42.mp4,bench_results/bench001/M3/wan5b/mq_064be72ce080__wan5b__s44.mp4
mqp_5000801,B,M-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/N2/videos/mq_0665cbd87927__pangu__s42.mp4,bench_results/bench001/M2/cosmos_super/mq_0665cbd87927__cosmos_super__s43.mp4
mqp_5000810,same,W-W,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/cogvideox/mq_067a5e947be9__cogvideox__s44.mp4,bench_results/bench001/M3/wan5b/mq_067a5e947be9__wan5b__s43.mp4
mqp_5000821,BB,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/ltx/mq_06b4360823c1__ltx__s42.mp4,bench_results/bench001/M2/cosmos_super/mq_06b4360823c1__cosmos_super__s44.mp4
mqp_5000826,A,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M4/mq_06c08fdea436__wan14b__s42.mp4,bench_results/bench001/M4/mq_06c08fdea436__wan14b__s43.mp4
mqp_5000834,B,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M4/mq_06dcc44d29bf__wan14b__s42.mp4,bench_results/bench001/M3/ltx/mq_06dcc44d29bf__ltx__s44.mp4
mqp_5000848,B,M-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_nano/mq_071096fd9ea6__cosmos_nano__s44.mp4,bench_results/bench001/M3/ltx/mq_071096fd9ea6__ltx__s43.mp4
mqp_5000856,A,W-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_super/mq_071892ada1ba__cosmos_super__s44.mp4,bench_results/bench001/M3/wan5b/mq_071892ada1ba__wan5b__s43.mp4
mqp_5000863,same,S-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M3/ltx/mq_07207ff0c955__ltx__s42.mp4,bench_results/bench001/M1/hunyuan/mq_07207ff0c955__hunyuan__s42.mp4
mqp_5000865,same,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/wan5b/mq_072ef93098cd__wan5b__s42.mp4,bench_results/bench001/M3/wan5b/mq_072ef93098cd__wan5b__s44.mp4
mqp_5000869,AA,W-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/ltx/mq_07310d9b3ebf__ltx__s44.mp4,bench_results/bench001/M3/cogvideox/mq_07310d9b3ebf__cogvideox__s42.mp4
mqp_5000870,same,W-M,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/wan5b/mq_07310d9b3ebf__wan5b__s43.mp4,bench_results/bench001/M2/cosmos_nano/mq_07310d9b3ebf__cosmos_nano__s44.mp4
mqp_5000875,B,W-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/wan5b/mq_07368f084c23__wan5b__s44.mp4,bench_results/bench001/M3/ltx/mq_07368f084c23__ltx__s42.mp4
mqp_5000876,B,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_073fbb44d500__ltx__s44.mp4,bench_results/bench001/M3/ltx/mq_073fbb44d500__ltx__s42.mp4
mqp_5000879,A,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/ltx/mq_073fbb44d500__ltx__s43.mp4,bench_results/bench001/M4/mq_073fbb44d500__wan14b__s44.mp4
mqp_5000888,B,M-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/N2/videos/mq_074a46b998d5__pangu__s42.mp4,bench_results/bench001/M3/ltx/mq_074a46b998d5__ltx__s44.mp4
mqp_5000891,same,M-M,3,a,1.0,"['1', '2']",True,bench_results/bench001/M2/cosmos_nano/mq_074a46b998d5__cosmos_nano__s44.mp4,bench_results/bench001/N2/videos/mq_074a46b998d5__pangu__s43.mp4
mqp_5000915,A,W-M,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M2/cosmos_nano/mq_07a4832576f1__cosmos_nano__s44.mp4,bench_results/bench001/M3/cogvideox/mq_07a4832576f1__cogvideox__s42.mp4
mqp_5000916,AA,W-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/ltx/mq_07aa6435dd77__ltx__s42.mp4,bench_results/bench001/M3/cogvideox/mq_07aa6435dd77__cogvideox__s44.mp4
mqp_5000918,B,M-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/N2/videos/mq_07aa6435dd77__pangu__s42.mp4,bench_results/bench001/M3/ltx/mq_07aa6435dd77__ltx__s42.mp4
mqp_5000920,A,S-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M3/ltx/mq_07b70353dea6__ltx__s44.mp4,bench_results/bench001/M4/mq_07b70353dea6__wan14b__s42.mp4
mqp_5000923,B,W-S,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M4/mq_07b70353dea6__wan14b__s44.mp4,bench_results/bench001/M3/wan5b/mq_07b70353dea6__wan5b__s44.mp4
mqp_5000926,BB,S-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M4/mq_07ba6a048817__wan14b__s43.mp4,bench_results/bench001/M2/cosmos_super/mq_07ba6a048817__cosmos_super__s42.mp4
mqp_5000927,same,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/wan5b/mq_07ba6a048817__wan5b__s43.mp4,bench_results/bench001/M3/wan5b/mq_07ba6a048817__wan5b__s42.mp4
mqp_5000939,same,W-S,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M2/cosmos_super/mq_07e9822a8d02__cosmos_super__s43.mp4,bench_results/bench001/M3/cogvideox/mq_07e9822a8d02__cogvideox__s42.mp4
mqp_5000951,A,M-S,3,a,1.0,"['1', '2']",True,bench_results/bench001/M4/mq_07f2d3bf6028__wan14b__s43.mp4,bench_results/bench001/M2/cosmos_nano/mq_07f2d3bf6028__cosmos_nano__s44.mp4
mqp_5000963,BB,seed,3,tie,0.0,"['1', '1']",False,bench_results/bench001/M3/ltx/mq_082dc0bd570e__ltx__s43.mp4,bench_results/bench001/M3/ltx/mq_082dc0bd570e__ltx__s44.mp4
mqp_5000967,AA,W-W,3,a,1.0,"['1', '2']",True,bench_results/bench001/M3/wan5b/mq_08302fd96a1c__wan5b__s44.mp4,bench_results/bench001/M3/cogvideox/mq_08302fd96a1c__cogvideox__s42.mp4
mqp_5000971,A,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M2/cosmos_nano/mq_083ef787f9df__cosmos_nano__s44.mp4,bench_results/bench001/M2/cosmos_nano/mq_083ef787f9df__cosmos_nano__s43.mp4
mqp_5000972,A,seed,3,b,-1.0,"['2', '1']",True,bench_results/bench001/M3/wan5b/mq_084749a5bdbb__wan5b__s44.mp4,bench_results/bench001/M3/wan5b/mq_084749a5bdbb__wan5b__s42.mp4
mqp_5000986,A,seed,3,a,1.0,"['1', '2']",True,bench_results/bench001/M4/mq_0866b4076135__wan14b__s44.mp4,bench_results/bench001/M4/mq_0866b4076135__wan14b__s42.mp4
